;Corporations;Government;Households;RestOfWorld
Trade_Balance;0;0;0;10332228.23
GOS_byAgent;12073211.93;12073211.93;12073211.93;0
NetCompWages_byAgent;0;0;19100892.73;0
InsuranceContrib_byAgent;0;0;0;0
Production_Tax_byAgent;0;0;0;0
Energ_Tax_byAgent;0;0;0;0
Carbon_Tax_byAgent;0;0;0;0
OtherIndirTax_byAgent;0;0;0;0
VA_Tax_byAgent;0;6032321.615;0;0
Property_income;-2545486.689;-2545486.689;7636460.066;-2545486.689
Unemployment_transfers;0;-304354;304354;0
Pensions;0;-304354;304354;0
Other_social_transfers;0;-304354;304354;0
ClimPolicyCompens;0;0;0;0
Other_Transfers;0;0;0;0
Income_Tax;0;0;0;0
Corporate_Tax;0;0;0;0
Other_Direct_Tax;0;0;0;0
Disposable_Income;9527725.241;14646984.86;39723626.73;7786741.544
FC_byAgent;0;5197205.788;14706079.73;0
GFCF_byAgent;6696766.743;6696766.743;6696766.743;0
Tot_FC_byAgent;6696766.743;11893972.53;21402846.48;0
NetLending;2830958.498;2753012.326;18320780.25;7786741.544
NetFinancialDebt;0;0;0;0
Million of RMB;0;0;0;0
