;Crude_oil;Natural_gas;Petr_Ref;Ely_gas_wat;Agric_fish;Oth_mining;Petchem;Non_met_min;Oth_Manuf;Cial_pub_sces;wtp;atp;otp;C;X
Crude_oil;0;0;0;0;0;0;3.319856002;0.133804937;1.297690573;5.99229743;2.281768549;0.686692732;0.165916815;0;0
Natural_gas;0.015860892;0;0;0;0.002326063;0.000629606;0.34506291;0.035989812;0.109914896;0.507549919;0.193266682;0.094330864;0.0749505;6.780342908;4.062553388
Petr_Ref;0;0;0;0;6.903852632;1.868698674;0;0;0;0;0;0;0;0;0
Ely_gas_wat;0;0;0;0;0;0;0;0;0;0;0;0;0;13.29723591;0.029628441
Agric_fish;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oth_mining;0;0;0;0;1.336459612;0.361745888;0;0;0;0;0;0;0;2.443548029;0
Petchem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Non_met_min;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oth_Manuf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cial_pub_sces;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
wtp;0;0;0;0;0;0;0;0;0;0;0;0;0;0.266272241;0.002880527
atp;0;0;0;0;0;0;0;0;0;0;0;0;0;1.831981652;0.001368328
otp;0;0;0;0;0;0;0;0;0;0;0;0;0;0.207712062;0.347810526
MtCO2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
