;Crude_oil;Natural_gas;Petr_Ref;Ely_gas_wat;Agric_fish;Oth_mining;Petchem;Non_met_min;Oth_Manuf;Cial_pub_sces;wtp;atp;otp;C;X
Crude_oil;0;0;124;55;0;0;0;4;12;0;0;0;0;0;1095
Natural_gas;0;0;0;78;0;0;34;3;11;0;0;0;0;0;0
Petr_Ref;0;0;0;52;0;0;0;13;33;0;2;9;49;63;166
Ely_gas_wat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agric_fish;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oth_mining;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Petchem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Non_met_min;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oth_Manuf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cial_pub_sces;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
wtp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
atp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MtCO2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
