;Crude_oil;Natural_gas;Petr_Ref;Ely_gas_wat;Agric_fish;Oth_mining;Petchem;Non_met_min;Oth_Manuf;Cial_pub_sces;wtp;atp;otp;C;G;I;X;Tot_uses
Crude_oil;0;0;5035036.243;2586947.635;0;0;0;184519.7851;457565.0227;0;0;0;0;0;0;0;1116727946;1124992015
Natural_gas;0;0;0;3792285.693;0;49382.30948;4450386.969;209399.0124;1591339.982;0;0;0;0;0;0;0;0;10092793.97
Petr_Ref;0;0;0;1638866.263;0;0;0;198574.7844;835416.4542;0;45041.41524;2097223.694;4513105.749;13031343.17;0;0;142389062.2;164748633.7
Ely_gas_wat;0;0;1245613.963;0;514976.4;58118.17987;1946173.645;98957.98194;3562487.35;15130630;0;0;0;9427278;0;0;0;31984235.52
Agric_fish;1488958.692;33945.98239;2267559.867;0;4063876.782;0;140795.2672;1375.900536;46331060.92;19882470.81;1897350.114;397331.8667;563893.3097;34297000;2024000;0;1970000;115359619.5
Oth_mining;0;0;0;1191147.038;0;0;11394570.05;548084.9343;2180654.445;9831156.274;0;0;91320.3166;0;143000;0;765000;26144933.05
Petchem;336081.2852;21021.32729;27684.43006;208776.0637;1473378.381;84279.16178;7154793.854;35678.54409;3683975.338;19762814.07;0;0;0;0;5292.780058;29092500;131723371.3;193609646.5
Non_met_min;27120.17603;490.7754403;45240.4101;42910.49531;32129.74663;6516.430035;1142072.471;1443013.178;791223.7129;9669728.965;0;0;749635.0104;6493755.832;481.1618234;363750;309905.1379;21117973.5
Oth_Manuf;5356951.597;614102.6218;9403698.1;9477346.632;4962234.039;2066785.106;3343239.537;2003844.429;57068441.98;236227782;1755627.129;2115015.219;18553466.51;324366244.2;1767226.058;401141750;68004723.56;1148228479
Cial_pub_sces;21011382.77;3600585.511;36892636.18;18508196.9;3932471.018;1559628.751;19116531.3;5953618.055;104627650.7;427705872;0;0;0;377946823.9;624581000;231857000;15120000;1892413397
wtp;18608.21314;0;10995.91801;30145.6132;657860.6477;43429.12158;12668.8202;10373.48345;3486411.659;313529.2305;100672.2152;5916.12004;34598.50124;1985371.979;0;0;0;6710581.523
atp;20675.79238;0;0;11304.60495;187960.1851;88322.14613;12668.8202;3890.056295;496083.3942;1567646.153;12277.09941;118322.4008;28832.08436;4421752.513;0;0;0;6969735.249
otp;132325.0712;0;60477.54903;199714.6874;2456133.572;932506.1947;133022.6121;115405.0034;2782834.175;5173232.303;162057.7122;439271.9129;2188355.203;29232430.47;0;0;0;44007766.46
Labour_income;23928520.1;2658724.456;4884764.839;7426871.481;6741656.634;1174909.607;17542500;1023750;23102752.25;459989093.5;125871.1887;148743.9325;1032337.355;0;0;0;0;0
Labour_Tax;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Capital_income;50463258.94;2145255.886;37144273.47;97144364.43;22130385.2;5539677.445;42729524.61;2226873.244;90597321.85;471588000;416721.4816;524281.0732;3021373.006;0;0;0;0;0
Production_Tax;0;0;0;1047985.299;-3884874.91;90988.12863;-71892.78353;-23480.43839;-1176969.129;10431119.95;104041.3277;1352537.259;693608.8505;0;0;0;0;0
Profit_margin;1021572732;948067.4052;19421909.53;21324372.68;7728431.814;2428390.473;9379651.744;1881748.977;8563514.752;421068094;29697.91466;46791.41712;241992.6334;0;0;0;0;0
M_value;0;0;11404743.2;0;32649000;6095000;50554000;2501250;530837750;122323416.3;1843527.453;6298606.369;34855449.9;0;0;0;0;0
Trade_margins;0;0;23400000;10817000;21396000;3998000;8275118.977;2041569.477;203134311.5;-273062000;0;0;0;0;0;0;0;0
