;Crude_oil;Natural_gas;Petr_Ref;Ely_gas_wat;Agric_fish;Oth_mining;Petchem;Non_met_min;Oth_Manuf;Cial_pub_sces;wtp;atp;otp;C;G;I;X
Crude_oil;0.257718686;0.823672118;0.257718686;0.257718686;0.985616162;0.725941229;0.985616162;0.985616162;0.985616162;0.985616162;0.985616162;0.985616162;0.985616162;0.013904159;0;0;0.430677328
Natural_gas;1;1;1;1;1;1;1;1;1;1;1;1;1;0.082906669;0;0;0
Petr_Ref;0.723003092;1;0.723003092;0.723003092;1;1;1;1;1;1;1;1;1;0.03900668;0;0;1
Ely_gas_wat;1;1;1;1;1;1;1;1;1;1;1;1;1;0.841679361;0;0;1
Agric_fish;0.269550661;0.216151795;0.269550661;0.269550661;0.284251016;0.305044449;0.284251016;0.284251016;0.284251016;0.284251016;0.284251016;0.284251016;0.284251016;0.203390556;0;0;0
Oth_mining;0.125900141;0.069608292;0.125900141;0.125900141;0.106625936;0.101348631;0.106625936;0.106625936;0.106625936;0.106625936;0.106625936;0.106625936;0.106625936;0.074118626;0;0.048654746;0.024355664
Petchem;0.122669367;0.098368165;0.122669367;0.122669367;0.129359328;0.138822177;0.129359328;0.129359328;0.129359328;0.129359328;0.129359328;0.129359328;0.129359328;0.092560674;0;0;0
Non_met_min;0.537290404;0.430851422;0.537290404;0.537290404;0.566592354;0.608039525;0.566592354;0.566592354;0.566592354;0.566592354;0.566592354;0.566592354;0.566592354;0.405414677;0;0;0
Oth_Manuf;0.54908055;0.440305902;0.54908055;0.54908055;0.579025494;0.621382169;0.579025494;0.579025494;0.579025494;0.579025494;0.579025494;0.579025494;0.579025494;0.41431098;0;0;0.41431098
Cial_pub_sces;0.435152453;0.348947332;0.435152453;0.435152453;0.458884154;0.492452291;0.458884154;0.458884154;0.458884154;0.458884154;0.458884154;0.458884154;0.458884154;0.328346067;0;0;0
wtp;0.338117422;0.271135257;0.338117422;0.338117422;0.35655717;0.382639918;0.35655717;0.35655717;0.35655717;0.35655717;0.35655717;0.35655717;0.35655717;0.255127887;0;0;0
atp;0.530106532;0.425090698;0.530106532;0.530106532;0.559016698;0.599909697;0.559016698;0.559016698;0.559016698;0.559016698;0.559016698;0.559016698;0.559016698;0.399994057;0;0;0.399994057
otp;0.36780281;0.294939874;0.36780281;0.36780281;0.387861497;0.416234208;0.387861497;0.387861497;0.387861497;0.387861497;0.387861497;0.387861497;0.387861497;0.277527118;0;0;0
Labour_income;0.084006028;0.058398395;0.084006028;0.084006028;0.092628117;0.079963187;0.092628117;0.092628117;0.092628117;0.092628117;0.092628117;0.092628117;0.092628117;5.95E-05;0;0;0
Labour_Tax;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Capital_income;0.66991724;0.370387157;0.66991724;0.66991724;0.567358802;0.539278149;0.567358802;0.567358802;0.567358802;0.567358802;0.567358802;0.567358802;0.567358802;0.394386734;0;0.258892902;0.394386734
Production_Tax;0.64722721;0.35784218;0.64722721;0.64722721;0.548142416;0.521012852;0.548142416;0.548142416;0.548142416;0.548142416;0.548142416;0.548142416;0.548142416;0.381028894;0;0.250124226;0.125207554
Profit_margin;0.062942833;0.046886918;0.062942833;0.062942833;0.060416387;0.063990479;0.060416387;0.060416387;0.060416387;0.060416387;0.060416387;0.060416387;0.060416387;0.069006138;0;0;0.044877029
