;Crude_oil;Natural_gas;Petr_Ref;Ely_gas_wat;Agric_fish;Oth_mining;Petchem;Non_met_min;Oth_Manuf;Cial_pub_sces;wtp;atp;otp;C;G;I;X;Tot_uses;Y;M
Crude_oil;100.000;100.000;116.547;108.633;100.000;100.000;100.000;116.547;116.547;100.000;100.000;100.000;100.000;100.000;100.000;100.000;2924.395;2475.824;100.000;100.000
Natural_gas;100.000;100.000;100.000;111.609;100.000;111.600;111.600;111.600;111.600;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000;111.603;100.000;100.000
Petr_Ref;100.000;100.000;100.000;85.418;100.000;100.000;100.000;49.530;65.382;600.000;49.530;679.650;274.408;654.087;600.000;600.000;2808.155;1296.790;100.000;3251.383
Ely_gas_wat;1000.000;1000.000;1744.500;1000.000;1395.600;1744.500;1744.500;1744.500;1744.500;2326.000;1000.000;1000.000;1000.000;872.250;1000.000;1000.000;1000.000;1477.755;100.000;100.000
Agric_fish;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000
Oth_mining;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000
Petchem;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000
Non_met_min;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000
Oth_Manuf;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000
Cial_pub_sces;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000
wtp;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000
atp;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000
otp;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000;1000.000
SAR_per_tep_SAR_per_tons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
