;Crude_oil;Natural_gas;Petr_Ref;Ely_gas_wat;Agric_fish;Oth_mining;Petchem;Non_met_min;Oth_Manuf;Cial_pub_sces;wtp;atp;otp;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;0;43;19;0;0;0;1;4;0;0;0;0;0;0;0;382;11244;11244;0
Natural_gas;0;0;0;37;0;0;16;1;5;0;0;0;0;0;0;0;0;67;67;0
Petr_Ref;0;0;0;18;0;0;0;4;13;0;1;3;17;19;0;0;51;1687;1664;24
Ely_gas_wat;0;0;1;0;0;0;1;0;2;7;0;0;0;11;0;0;0;344;344;0
Agric_fish;15;0;23;0;55;0;1;0;544;203;23;4;6;343;20;0;20;1258;993;265
Oth_mining;0;0;0;12;0;0;115;6;26;100;0;0;1;0;1;0;8;268;209;59
Petchem;3;0;0;2;20;1;72;0;43;202;0;0;0;209;0;3;147;704;498;205
Non_met_min;0;0;0;0;0;0;12;15;9;218;0;0;8;65;0;239;3;571;165;406
Oth_Manuf;53;6;94;95;68;22;34;21;670;2289;22;23;203;3035;18;4064;1850;12566;7442;5124
Cial_pub_sces;204;15;146;259;54;17;29;63;1219;4335;0;0;0;3779;6246;2319;151;18836;17619;1217
wtp;0;0;0;0;9;0;0;0;41;3;1;0;0;20;0;0;0;76;59;17
atp;0;0;0;0;3;1;0;0;6;16;0;1;0;44;0;0;0;72;9;62
otp;1;0;1;2;33;10;1;1;33;53;2;5;24;297;0;0;0;463;120;343
ktoe_ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
