Variable Name;Row Size;Column Size;Type;Min;Max
H_disposable_income;1;nb_Households;Var;-%inf;%inf
Pensions;1;nb_Households;Var;-%inf;%inf
Unemployment_transfers;1;nb_Households;Var;-%inf;%inf
Other_social_transfers;1;nb_Households;Var;-%inf;%inf
Property_income;1;nb_InstitAgents;Var;-%inf;%inf
Household_savings;1;nb_Households;Var;-%inf;%inf
Corporations_savings;1;nb_Corporations;Var;-%inf;%inf
Government_savings;1;nb_Government;Var;-%inf;%inf
GFCF_byAgent;1;nb_DomesticAgents;Var;-%inf;%inf
NetLending;1;nb_InstitAgents;Var;-%inf;%inf
NetFinancialDebt;1;nb_InstitAgents;Var;-%inf;%inf
Consumption_budget;1;nb_Households;Var;-%inf;%inf
C;nb_Commodities;nb_Households;Var;-%inf;%inf
Corp_disposable_income;1;nb_Corporations;Var;-%inf;%inf
G_disposable_income;1;nb_Government;Var;-%inf;%inf
Income_Tax;1;nb_Households;Var;-%inf;%inf
Other_Direct_Tax;1;nb_Households;Var_interm;-%inf;%inf
Corporate_Tax;1;nb_Corporations;Var;-%inf;%inf
Production_Tax;1;nb_Sectors;Var;-%inf;%inf
Labour_Tax;1;nb_Sectors;Var;-%inf;%inf
Energy_Tax_IC;1;nb_Commodities;Var;-%inf;%inf
Energy_Tax_FC;1;nb_Commodities;Var;-%inf;%inf
OtherIndirTax;1;nb_Commodities;Var;-%inf;%inf
VA_Tax;1;nb_Commodities;Var;-%inf;%inf
Carbon_Tax_IC;nb_Commodities;nb_Sectors;Var;-%inf;%inf
Carbon_Tax_C;nb_Commodities;nb_Households;Var;-%inf;%inf
Pension_Benefits;1;nb_Households;Var;-%inf;%inf
UnemployBenefits;1;nb_Households;Var;-%inf;%inf
Other_SocioBenef;1;nb_Households;Var;-%inf;%inf
Carbon_Tax_rate_IC;nb_Commodities;nb_Sectors;Var;-%inf;%inf
Carbon_Tax_rate_C;nb_Commodities;nb_Households;Var;-%inf;%inf
ClimPolCompensbySect;1;nb_Sectors;Var;-%inf;%inf
Labour_Tax_Cut;1;1;Var;-1;1
Labour_Tax_rate;1;nb_Sectors;Var;-1;1
G_Consumption_budget;1;nb_Government;Var;-%inf;%inf
G;nb_Commodities;nb_Government;Var;-%inf;%inf
Phi;1;nb_Sectors;Var;-%inf;%inf
Theta;1;nb_Sectors;Var;-%inf;%inf
alpha;nb_Commodities;nb_Sectors;Var_interm;-%inf;%inf
lambda;1;nb_Sectors;Var_interm;-%inf;%inf
kappa;1;nb_Sectors;Var_interm;-%inf;%inf
pY;nb_Sectors;1;Var;-%inf;%inf
delta_TranspMargins_rate;1;1;Var;-%inf;%inf
Transp_margins_rates;1;nb_Commodities;Var;-1;1
Transp_margins;1;nb_Commodities;Var;-%inf;%inf
delta_TradeMargins_rate;1;1;Var;-%inf;%inf
Trade_margins_rates;1;nb_Commodities;Var;-1;1
Trade_margins;1;nb_Commodities;Var;-%inf;%inf
SpeMarg_IC;nb_Sectors;nb_Commodities;Var;-%inf;%inf
SpeMarg_C;nb_Households;nb_Commodities;Var;-%inf;%inf
SpeMarg_X;1;nb_Commodities;Var;-%inf;%inf
SpeMarg_I;1;nb_Commodities;Var;-%inf;%inf
I;nb_Commodities;1;Var;-%inf;%inf
pK;1;nb_Sectors;Var;-%inf;%inf
Y;nb_Sectors;1;Var;-%inf;%inf
IC;nb_Commodities;nb_Sectors;Var;-%inf;%inf
M;nb_Sectors;1;Var_interm;-%inf;%inf
X;nb_Commodities;1;Var_interm;-%inf;%inf
Capital_consumption;1;nb_Sectors;Var;0;%inf
p;1;nb_Commodities;Var_interm;-%inf;%inf
SpeMarg_rates_IC;nb_Commodities;nb_Sectors;Var_interm;-%inf;%inf
SpeMarg_rates_C;nb_Commodities;nb_Households;Var_interm;-%inf;%inf
SpeMarg_rates_G;nb_Commodities;nb_Government;Var_interm;-%inf;%inf
SpeMarg_rates_I;nb_Commodities;1;Var_interm;-%inf;%inf
CPI;1;1;Var_interm;-%inf;%inf
pX;nb_Commodities;1;Var;-%inf;%inf
Labour;1;nb_Sectors;Var;-%inf;%inf
u_tot;1;1;Var;-1;1
NetWage_variation;1;1;Var;-1;1
w;1;nb_Sectors;Var;-%inf;%inf
u;1;nb_Households;Var;-1;1
Unemployed;1;nb_Households;Var;-%inf;%inf
pL;1;nb_Sectors;Var;-%inf;%inf
delta_interest_rate;1;1;Var;-1;10
interest_rate;1;nb_InstitAgents;Var;-1;1
GDP;1;1;Var;-%inf;%inf
GrossOpSurplus;1;nb_Sectors;Var_interm;-%inf;%inf
Labour_income;1;nb_Sectors;Var;-%inf;%inf
Profit_margin;1;nb_Sectors;Var;0;%inf
Capital_income;1;nb_Sectors;Var;-%inf;%inf
Distribution_Shares;nb_IncomeSources;nb_InstitAgents;Var;-1;1
NetCompWages_byAgent;1;nb_InstitAgents;Var;-%inf;%inf
GOS_byAgent;1;nb_InstitAgents;Var;-%inf;%inf
Other_Transfers;1;nb_InstitAgents;Var;-%inf;%inf
pM;nb_Sectors;1;Var_interm;0;%inf
