Households_Gourps;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Crude_oil;0;0;0;0;0;0;0;0;0;0
Natural_gas;0.089021662;0.08190352;0.082149552;0.089199943;0.090107162;0.093191281;0.101604179;0.107784157;0.123377788;0.141660757
Petr_Ref;0;0;0;0;0;0;0;0;0;0
Ely_gas_wat;0.099690164;0.10894379;0.265760973;0.101661402;0.070783403;0.134966753;0.045608125;0.053992491;0.038173773;0.080419126
Agric_fish;0;0;0;0;0;0;0;0;0;0
Oth_mining;0.099690164;0.10894379;0.265760973;0.101661402;0.070783403;0.134966753;0.045608125;0.053992491;0.038173773;0.080419126
Petchem;0.059532106;0.074261025;0.077161699;0.091256901;0.096894692;0.111667612;0.107265124;0.109963038;0.135152476;0.136845328
Non_met_min;0.082106541;0.104548317;0.110695929;0.105122983;0.106999924;0.098642173;0.101257285;0.091521752;0.099692696;0.0994124
Oth_Manuf;0;0;0;0;0;0;0;0;0;0
Cial_pub_sces;0.048965948;0.06108068;0.079086263;0.093533027;0.098244781;0.113223541;0.120086194;0.123106582;0.130519084;0.1321539
wtp;0.065642046;0.084636721;0.106682668;0.106979237;0.099659271;0.087683509;0.10070723;0.114994138;0.104098209;0.128916972
atp;0.065642046;0.084636721;0.106682668;0.106979237;0.099659271;0.087683509;0.10070723;0.114994138;0.104098209;0.128916972
otp;0.065642046;0.084636721;0.106682668;0.106979237;0.099659271;0.087683509;0.10070723;0.114994138;0.104098209;0.128916972
Labour_income;0.07775414;0.089797199;0.085842678;0.091201111;0.095629403;0.099525265;0.108259227;0.107835823;0.114254783;0.129900371
