;AGG_SNBC2;AGG_MetMin;AGG_IndEner;AGG_MetMinEn;AGG_Ener1;AGG_Ener2;AGG_4Sec;AGG_3Sec;AGG_EnComp
Crude_oil;Crude_oil;Crude_oil;Crude_oil;Crude_oil;Crude_oil;Crude_oil;PrimEnergy;PrimEnergy;AllEnergy
Natural_gas;Natural_gas;Natural_gas;Natural_gas;Natural_gas;Natural_gas;Natural_gas;PrimEnergy;PrimEnergy;AllEnergy
Coking_coal;Coal;Coking_coal;Coal;Coal;Coal;Coal;PrimEnergy;PrimEnergy;AllEnergy
Bituminous_coal;Coal;Bituminous_coal;Coal;Coal;Coal;Coal;PrimEnergy;PrimEnergy;AllEnergy
Coke;Coal;Coke;Coal;Coal;Coal;Coal;PrimEnergy;PrimEnergy;AllEnergy
Other_coal;Coal;Other_coal;Coal;Coal;Coal;Coal;PrimEnergy;PrimEnergy;AllEnergy
Gasoline;AllFuels;Gasoline;FuelProd;FuelProd;Gasoline;FuelProd;FinEnergy;FinEnergy;AllEnergy
LPG;AllFuels;LPG;FuelProd;FuelProd;OthFuelProd;FuelProd;FinEnergy;FinEnergy;AllEnergy
Jetfuel;AllFuels;Jetfuel;FuelProd;FuelProd;OthFuelProd;FuelProd;FinEnergy;FinEnergy;AllEnergy
Fuel;AllFuels;Fuel;FuelProd;FuelProd;Fuel;FuelProd;FinEnergy;FinEnergy;AllEnergy
Fuel_oil;AllFuels;Fuel_oil;FuelProd;FuelProd;OthFuelProd;FuelProd;FinEnergy;FinEnergy;AllEnergy
Heavy_fuel_oil;AllFuels;Heavy_fuel_oil;FuelProd;FuelProd;OthFuelProd;FuelProd;FinEnergy;FinEnergy;AllEnergy
Other_fuel_prod;AllFuels;Other_fuel_prod;FuelProd;FuelProd;OthFuelProd;FuelProd;FinEnergy;FinEnergy;AllEnergy
Electricity;Electricity;Electricity;Electricity;Electricity;Electricity;Electricity;FinEnergy;FinEnergy;AllEnergy
HeatGeoSol_Th;HeatGeoSol_Th;HeatGeoSol_Th;HeatGeoSol_Th;HeatGeoSol_Th;HeatGeoSol_Th;HeatGeoSol_Th;FinEnergy;FinEnergy;AllEnergy
Steel_Iron;Heavy_Industry;Metals;Steel_Iron;Metals;Steel_Iron;Steel_Iron;AllIndus;AllComp;AllComp
NonFerrousMetals;Heavy_Industry;Metals;NonFerrousMetals;Metals;NonFerrousMetals;NonFerrousMetals;AllIndus;AllComp;AllComp
Cement;Heavy_Industry;Minerals;Cement;Minerals;Cement;Cement;AllIndus;AllComp;AllComp
OthMin;Heavy_Industry;Minerals;OthMin;Minerals;OthMin;OthMin;AllIndus;AllComp;AllComp
Buildings_constr;Buildings_constr;Buildings_constr;OthIndus;OthIndus;Buildings_constr;Buildings_constr;AllIndus;AllComp;AllComp
Work_constr;Work_constr;Composite;Composite;Composite;Composite;Composite;Composite;AllComp;AllComp
ChemicalPharma;Heavy_Industry;ChemicalPharma;OthIndus;OthIndus;ChemicalPharma;ChemicalPharma;AllIndus;AllComp;AllComp
Paper;Heavy_Industry;Paper;OthIndus;OthIndus;Paper;Paper;AllIndus;AllComp;AllComp
Mining;Heavy_Industry;Mining;OthIndus;OthIndus;Mining;Mining;AllIndus;AllComp;AllComp
Automobile;Automobile;TranspEquipment;OthIndus;OthIndus;TranspEquipment;TranspEquipment;AllIndus;AllComp;AllComp
OthTranspEquip;OthSectors;TranspEquipment;OthIndus;OthIndus;TranspEquipment;TranspEquipment;AllIndus;AllComp;AllComp
Load_PipeTransp;Load_PipeTransp;Transport_serv;OthIndus;OthIndus;Transport_serv;Transport_serv;AllIndus;AllComp;AllComp
PassTransp;PassTransp;Transport_serv;OthIndus;OthIndus;Transport_serv;Transport_serv;AllIndus;AllComp;AllComp
NavalTransp;OthSectors;Transport_serv;OthIndus;OthIndus;Transport_serv;Transport_serv;AllIndus;AllComp;AllComp
AirTransp;OthSectors;Transport_serv;OthIndus;OthIndus;Transport_serv;Transport_serv;AllIndus;AllComp;AllComp
Agri_Forestry;Agri_Food_industry;Agri_Forestry;Agriculture;Agriculture;Agriculture;Agriculture;AllIndus;AllComp;AllComp
Fishing;Agri_Food_industry;Fishing;Agriculture;Agriculture;Agriculture;Agriculture;AllIndus;AllComp;AllComp
Food_industry;Agri_Food_industry;Food_industry;OthIndus;OthIndus;Food_industry;Food_industry;AllIndus;AllComp;AllComp
Property_business;Property_business;Composite;Composite;Composite;Composite;Composite;Composite;AllComp;AllComp
Comp;OthSectors;Composite;Composite;Composite;Composite;Composite;Composite;AllComp;AllComp
