Variation (%);AllEnergy;AllComp
Production Price;-0.9418991;-2.1115957
Real Households consumption;-3.9560788;-9.9613226
Exports in volume;0.5502491;1.0458389
Imports in volume;-1.814056;-6.7177726
Trade balance ;-0.3559568;-9.0212763
Energy Cost share variation;0.7136102;1.6227985
 Energy/Labour cost variation;7.3039817;7.2981412
Labour;-3.9286891;-7.9380677
Unitary Labour Cost variation;-7.025827;-7.2892273
Net nominal wages;-4.3956235;-4.3956235
Net real wages (Consumer Price Index);-4.3956235;-4.3956235
Purchasing power of wages;-4.3956235;-4.3956235
Carbon Taxe rate;0 euro/tCO2;
Revenue-reclycling option;Labour tax reduction;
