Economic Table,Corporations,Government,Households,RestOfWorld
Trade_Balance,0,0,0, 6.9
GOS_byAgent,-3.1,-3.1,-3.1,0
NetCompWages_byAgent,0,0,-11.7,0
InsuranceContrib_byAgent,0,-7.5,0,0
Production_Tax_byAgent,0,-6.1,0,0
Energ_Tax_byAgent,0,-3.8,0,0
OtherIndirTax_byAgent,0,-5.6,0,0
VA_Tax_byAgent,0,0,0,0
Property_income,-28.4,-32.3,-12.1,-29.6
Unemployment_transfers,0, 160.1, 160.1,0
Pensions,0,-4.8,-4.8,0
Other_social_transfers,0,-4.8,-4.8,0
ClimPolicyCompens,0,0,0,0
Other_Transfers,-4.8,-4.8,-4.8,-4.8
Income_Tax,0,-9.8,-9.8,0
Corporate_Tax,-3.1,-3.1,0,0
Other_Direct_Tax,0,0,0,0
Disposable_Income,-2.3,-4.8,-9.8, 8.1
FC_byAgent,0,-4.8,-9.8,0
GFCF_byAgent,-2.3,-4.8,-9.8,0
Tot_FC_byAgent,-2.3,-4.8,-9.8,0
NetLending,-2.3,-4.8,-9.8, 8.1
NetFinancialDebt, 3.2,-2.4, 26.7, 17.5
,,,,
Units,0.01 k€,,,
