Economic Table,Corporations,Government,Households,RestOfWorld
Trade_Balance,0,0,0,-728.1
GOS_byAgent,977.4,1144.1,148.6,0
NetCompWages_byAgent,0,0,443.5,0
InsuranceContrib_byAgent,0,43.7,0,0
Production_Tax_byAgent,0,8,0,0
Energ_Tax_byAgent,0,-144.3,0,0
OtherIndirTax_byAgent,0,20,0,0
VA_Tax_byAgent,0,0,0,0
Property_income,-23.1,29.4,7.8,-14.1
Unemployment_transfers,0,-5.8,5.8,0
Pensions,0,-43.1,43.1,0
Other_social_transfers,0,-3.1,3.1,0
ClimPolicyCompens,0,0,0,0
Other_Transfers,-0.2,6.7,-121.7,115.3
Income_Tax,0,19.8,-19.8,0
Corporate_Tax,-36.7,36.7,0,0
Other_Direct_Tax,0,0,0,0
Disposable_Income,917.3,1111.9,510.6,-626.9
FC_byAgent,0,598.5,722.8,0
GFCF_byAgent,317.8,237.8,79,0
Tot_FC_byAgent,317.8,836.3,801.7,0
NetLending,599.5,275.6,-291.2,-626.9
NetFinancialDebt,1111.3,-1413.7,-375.4,785.2
,,,,
Units,1000000 k€,,,
