IC_value,AllEn,AllCo,C,G,I,X,Uses,
AllEn,-1.1,-5.2,-4,0,0,-0.4,-0.6,
AllCo,-1.1,-5.2,-10,-4.8,-4.2,-0.7,-5.6,
Labour_income,-8.2,-12,,,,,,
Labour_Tax,-6.5,-7.7,,,,,,
Capital_income,-1.1,-5.2,,,,,,
Production_Tax,-1.8,-6.7,,,,,,
Profit_margin,-1.8,-6.7,,,,,,
M_value,-1.8,-6.7,,,,,,
Trade_margins,-1.8,-1.8,,,,,,
Transp_margins,-1.8,-1.8,,,,,,
SpeMarg_AllEnergy,-2,0,,,,,,
SpeMarg_AllComp,-6.1,0,,,,,,
SpeMarg_C,-4.8,0,,,,,,
SpeMarg_G,0,0,,,,,,
SpeMarg_I,0,0,,,,,,
SpeMarg_X,-0.4,0,,,,,,
VA_Tax,0,0,,,,,,
Energy_Tax_IC,-3.2,0,,,,,,
Energy_Tax_FC,-4,0,,,,,,
ClimPolCompensbySect,0,0,,,,,,
OtherIndirTax,-3.2,-5.6,,,,,,
Carbon_Tax,Nan,Nan,,,,,,
Supply,-0.7,-6.8,,,,,,
,,,,,,,,
,,,,,,,,
Units,0.01k€,,,,,,,
