IC_value,AllEn,AllCo,C,G,I,X,Uses,
AllEn,14.3,41.3,22.8,0,0,1259.1,1337.5,
AllCo,118.8,997.4,778.4,628.5,662.5,217.9,3403.5,
Labour_income,31.7,470.8,,,,,,
Labour_Tax,7.2,40.1,,,,,,
Capital_income,201.7,626.4,,,,,,
Production_Tax,1,7.5,,,,,,
Profit_margin,1049.8,465.8,,,,,,
M_value,7.9,788,,,,,,
Trade_margins,34.2,-34.2,,,,,,
Transp_margins,20.5,-20.5,,,,,,
SpeMarg_AllEnergy,-223.9,0,,,,,,
SpeMarg_AllComp,-194.9,0,,,,,,
SpeMarg_C,73.4,0,,,,,,
SpeMarg_G,0,0,,,,,,
SpeMarg_I,0,0,,,,,,
SpeMarg_X,345.4,0,,,,,,
VA_Tax,0,0,,,,,,
Energy_Tax_IC,-34.5,0,,,,,,
Energy_Tax_FC,-115.5,0,,,,,,
ClimPolCompensbySect,0,0,,,,,,
OtherIndirTax,0.3,20.9,,,,,,
Carbon_Tax,0,0,,,,,,
Supply,1337.5,3403.5,,,,,,
,,,,,,,,
,,,,,,,,
Units,1000000k€,,,,,,,
