IC_value,AllEn,AllCo,C,G,I,X,Uses,
AllEn,14.1,39.1,21.9,0,0,1254.5,1329.7,
AllCo,117.5,945.5,700.9,598.5,634.6,216.4,3213.4,
Labour_income,29.1,414.4,,,,,,
Labour_Tax,6.7,37,,,,,,
Capital_income,199.5,593.8,,,,,,
Production_Tax,1,7,,,,,,
Profit_margin,1030.8,434.5,,,,,,
M_value,7.8,735,,,,,,
Trade_margins,33.6,-33.6,,,,,,
Transp_margins,20.1,-20.1,,,,,,
SpeMarg_AllEnergy,-219.3,0,,,,,,
SpeMarg_AllComp,-183.1,0,,,,,,
SpeMarg_C,69.8,0,,,,,,
SpeMarg_G,0,0,,,,,,
SpeMarg_I,0,0,,,,,,
SpeMarg_X,344.2,0,,,,,,
VA_Tax,0,0,,,,,,
Energy_Tax_IC,-33.4,0,,,,,,
Energy_Tax_FC,-110.9,0,,,,,,
ClimPolCompensbySect,0,0,,,,,,
OtherIndirTax,0.3,19.7,,,,,,
Carbon_Tax,0,0,,,,,,
Supply,1327.7,3172.4,,,,,,
,,,,,,,,
,,,,,,,,
Units,1000000k€,,,,,,,
