phi_IC;Agri;Coal;Crude_oil;Ferrous;Non_ferrous;Non_metallic;Composite;Refinery;Coke;Soda;Ethylene;Electricity;Gas;Transport
Agri;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coal;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crude_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ferrous;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Non_ferrous;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Non_metallic;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Composite;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Refinery;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coke;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Soda;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ethylene;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Electricity;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;0;0;0;0;0;0;0;0;0;0;0;0;0;0
