CarbonTax_Diff_C;HH1
Agri;1
Coal;1
Crude_oil;1
Ferrous_min;1
Non_ferrous_min;1
Non_metallic_min;1
Agri_food;1
Food;1
Beverage;1
Tobacco;1
Textile;1
Wearing;1
Leather;1
Wood;1
Furniture;1
Paper;1
Print;1
Culture;1
Refinery;2
Coke;1
Chemical_product;1
Medicine;1
Fiber;1
Rubber;1
Plastic;1
Non_metallic;1
Ferrous_press;1
Non_ferrous_press;1
Metal_product;1
General_equip;1
Specila_equip;1
Trans_equip;1
Electric_equip;1
Communi_equip;1
Measure_ins_equip;1
Art_manufact;1
Waste;1
Electricity;1
Gas;1
Water;1
Construction;1
Transport;1
Commerce;1
Others;1
