CarbonTax_Diff_C;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Crude_oil;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Natural_gas;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Petr_Ref;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Ely_gas_wat;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Agric_fish;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Oth_mining;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Petchem;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Non_met_min;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Oth_Manuf;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Cial_pub_sces;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
wtp;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
atp;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
otp;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
